assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_900101125.1	PRJNA224116	SAMN05216243	FNFL00000000.1	reference genome	407036	407036	Sediminibacillus albus	strain=CGMCC 1.6502	na	latest	Scaffold	Major	Full	2016-10-21	IMG-taxon 2675902963 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900101125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/125/GCF_900101125.1_IMG-taxon_2675902963_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	3565081	3562788	41.5	0	14	14	NCBI RefSeq	GCF_900101125.1-RS_2024_05_03	2024-05-03	3560	3431	81	na
GCF_038433355.1	PRJNA224116	SAMN40981466	JBCAUP000000000.1	reference genome	407152	407152	Brucella cytisi	strain=ESC1	na	latest	Contig	Major	Full	2024-04-23	ASM3843335v1	Maria Curie-Sklodowska University	GCA_038433355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/433/355/GCF_038433355.1_ASM3843335v1	na	assembly from type material	na        	haploid	bacteria	5634663	5634663	55.5	0	55	55	NCBI RefSeq	GCF_038433355.1-RS_2024_04_24	2024-04-24	5340	5123	88	na
GCF_003002895.1	PRJNA224116	SAMN05421826	PVTI00000000.1	reference genome	407159	407159	Knoellia remsis	strain=ATCC BAA-1496	na	latest	Contig	Major	Full	2018-03-15	ASM300289v1	DOE Joint Genome Institute	GCA_003002895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/002/895/GCF_003002895.1_ASM300289v1	na	assembly from type material	na        	haploid	bacteria	3573222	3573222	70.5	0	62	62	NCBI RefSeq	GCF_003002895.1-RS_2024_05_03	2024-05-03	3425	3338	52	na
GCF_033723955.1	PRJNA224116	SAMN37986814	na	reference genome	407164	407164	Microbulbifer pacificus	strain=SPO729	na	latest	Complete Genome	Major	Full	2023-11-15	ASM3372395v1	Shenzhen Institute of Guangdong Ocean University	GCA_033723955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/723/955/GCF_033723955.1_ASM3372395v1	na	assembly from type material	na        	haploid	bacteria	4194096	4194096	58.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-11-17	3552	3447	94	na
GCF_900217755.1	PRJNA224116	SAMN05878426	OBMN00000000.1	reference genome	407234	407234	Phaeovulum vinaykumarii	strain=JA123	na	latest	Scaffold	Major	Full	2017-09-28	IMG-taxon 2740891828 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900217755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/217/755/GCF_900217755.1_IMG-taxon_2740891828_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	3485606	3484999	68.5	0	29	29	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-29	3318	3203	53	na
GCF_039529925.1	PRJNA224116	SAMD00645226	BAAANS000000000.1	reference genome	407973	407973	Kitasatospora saccharophila	strain=JCM 14559	na	latest	Scaffold	Major	Full	2024-02-23	ASM3952992v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_039529925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/529/925/GCF_039529925.1_ASM3952992v1	na	assembly from type material	na        	haploid	bacteria	8804199	8803213	74.0	0	211	211	NCBI RefSeq	GCF_039529925.1-RS_2024_05_10	2024-05-10	8043	7785	85	30832757
GCF_039529945.1	PRJNA224116	SAMD00645227	BAAANT000000000.1	reference genome	407974	407974	Kitasatospora kazusensis	strain=JCM 14560	na	latest	Scaffold	Major	Full	2024-02-23	ASM3952994v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_039529945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/529/945/GCF_039529945.1_ASM3952994v1	na	assembly from type material	na        	haploid	bacteria	7430351	7429561	72.5	0	151	151	NCBI RefSeq	GCF_039529945.1-RS_2024_05_10	2024-05-10	6486	6267	90	30832757
GCF_963541955.1	PRJNA224116	SAMEA114448829	CAUTUT000000000.1	reference genome	407975	407975	Hoylesella pleuritidis	na	ERR10228881_bin.9_MetaWRAP_v1.3_MAG	latest	Contig	Major	Full	2023-10-01	ERR10228881_bin.9_MetaWRAP_v1.3_MAG	EMG	GCA_963541955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/541/955/GCF_963541955.1_ERR10228881_bin.9_MetaWRAP_v1.3_MAG	derived from metagenome	na	na        	haploid	bacteria	2399924	2399924	45.0	0	30	30	NCBI RefSeq	GCF_963541955.1-RS_2024_10_11	2024-10-11	1981	1909	41	na
GCF_900182795.1	PRJNA224116	SAMN06264868	FXTX00000000.1	reference genome	407998	407998	Venenivibrio stagnispumantis	strain=DSM 18763	na	latest	Contig	Major	Full	2023-04-04	IMG-taxon 2724679818 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900182795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/182/795/GCF_900182795.1_IMG-taxon_2724679818_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	1561122	1561122	29.0	0	41	41	NCBI RefSeq	GCF_900182795.1-RS_2024_05_12	2024-05-12	1712	1643	44	na
GCF_000993785.3	PRJNA224116	SAMN03332981	na	reference genome	408015	408015	Streptomyces xiamenensis	strain=MCCC 1A01550	na	latest	Complete Genome	Major	Full	2019-08-19	ASM99378v3	Shanghai Jiao Tong University	GCA_000993785.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/993/785/GCF_000993785.3_ASM99378v3	na	assembly from type material	na        	haploid	bacteria	5961402	5961402	72.0	1	1	1	NCBI RefSeq	GCF_000993785.3-RS_2024_05_04	2024-05-04	5452	5232	77	na
GCF_001646865.1	PRJNA224116	SAMN04357316	LRRB00000000.1	reference genome	408066	408066	Aldersonia kunmingensis	strain=DSM 45001	na	latest	Contig	Major	Full	2016-05-18	rk21	Northumbria University	GCA_001646865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/646/865/GCF_001646865.1_rk21	na	assembly from type material	na        	haploid	bacteria	5622778	5622778	66.0	0	330	330	NCBI RefSeq	GCF_001646865.1-RS_2024_05_02	2024-05-02	5338	5084	53	na
GCF_029953285.1	PRJNA224116	SAMN34435609	JASAOI000000000.1	reference genome	408067	408067	Yinghuangia seranimata	strain=CCTCC AA 206006	na	latest	Contig	Major	Full	2023-05-07	ASM2995328v1	Jiangsu Normal University	GCA_029953285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/953/285/GCF_029953285.1_ASM2995328v1	na	assembly from type material	na        	haploid	bacteria	9797445	9797445	72.5	0	114	114	NCBI RefSeq	GCF_029953285.1-RS_2024_05_07	2024-05-07	8667	8479	71	na
GCF_900107795.1	PRJNA224116	SAMN05660909	FNRL00000000.1	reference genome	408074	408074	Chitinophaga terrae (ex Kim and Jung 2007)	strain=DSM 23920	na	latest	Scaffold	Major	Full	2016-10-22	IMG-taxon 2599185217 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900107795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/795/GCF_900107795.1_IMG-taxon_2599185217_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	6630860	6627397	46.0	0	64	64	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-17	5571	5473	70	na
GCF_003722295.1	PRJNA224116	SAMN10390430	na	reference genome	408139	408139	Leptospira kmetyi	strain=LS 001/16	na	latest	Complete Genome	Major	Full	2018-11-13	ASM372229v1	Universiti Sains Malaysia	GCA_003722295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/722/295/GCF_003722295.1_ASM372229v1	na	na	na        	haploid	bacteria	4416922	4416922	45.0	2	2	2	NCBI RefSeq	GCF_003722295.1-RS_2024_03_28	2024-03-28	4022	3914	45	na
GCF_900108855.1	PRJNA224116	SAMN04487995	FNXY00000000.1	reference genome	408657	408657	Dyadobacter koreensis	strain=DSM 19938	na	latest	Scaffold	Major	Full	2016-10-31	IMG-taxon 2622736476 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900108855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/855/GCF_900108855.1_IMG-taxon_2622736476_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	7340093	7335320	41.5	0	18	18	NCBI RefSeq	GCF_900108855.1-RS_2024_09_16	2024-09-16	6070	5981	54	na
GCF_003634095.1	PRJNA224116	SAMN08776251	RBIR00000000.1	reference genome	409290	409290	Arthrobacter oryzae	strain=DSM 25586	na	latest	Scaffold	Major	Full	2018-10-11	ASM363409v1	DOE Joint Genome Institute	GCA_003634095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/634/095/GCF_003634095.1_ASM363409v1	na	assembly from type material	na        	haploid	bacteria	4312407	4312311	67.0	0	19	19	NCBI RefSeq	GCF_003634095.1-RS_2024_04_22	2024-04-22	3902	3810	57	na
GCF_039531445.1	PRJNA224116	SAMD00645287	BAAAQB000000000.1	reference genome	409291	409291	Arthrobacter humicola	strain=JCM 15921	na	latest	Scaffold	Major	Full	2024-02-23	ASM3953144v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_039531445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/531/445/GCF_039531445.1_ASM3953144v1	na	assembly from type material	na        	haploid	bacteria	4607863	4601265	67.0	0	44	44	NCBI RefSeq	GCF_039531445.1-RS_2024_05_10	2024-05-10	4181	4065	55	30832757
GCF_004770635.1	PRJNA224116	SAMN10316431	RQFH00000000.1	reference genome	409998	409998	Leptospira wolffii	strain=201800291	na	latest	Contig	Major	Full	2019-04-10	ASM477063v1	INRS-Institut Armand-Frappier	GCA_004770635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/770/635/GCF_004770635.1_ASM477063v1	na	na	na        	haploid	bacteria	4173677	4173677	46.0	0	20	20	NCBI RefSeq	GCF_004770635.1-RS_2024_04_27	2024-04-27	3855	3789	44	na
GCF_037148075.1	PRJNA224116	SAMN37642804	JBBCUB000000000.1	reference genome	410332	410332	Gordonia malaquae	strain=MMO-152	na	latest	Contig	Major	Full	2024-03-14	ASM3714807v1	University of Wisconsin-Madison	GCA_037148075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/148/075/GCF_037148075.1_ASM3714807v1	na	na	na        	haploid	bacteria	4612856	4612856	66.5	0	19	19	NCBI RefSeq	GCF_037148075.1-RS_2024_03_14	2024-03-14	4546	4459	63	na
GCF_900094585.1	PRJNA224116	SAMN04487814	FMAG00000000.1	reference genome	410764	410764	Rhizobium multihospitium	strain=HAMBI 2975	na	latest	Scaffold	Major	Full	2016-08-04	IMG-taxon 2615840698 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900094585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/094/585/GCF_900094585.1_IMG-taxon_2615840698_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	7319877	7316837	60.0	0	19	19	NCBI RefSeq	GCF_900094585.1-RS_2024_04_30	2024-04-30	6893	6773	55	na
GCF_030323865.1	PRJNA224116	SAMN17065641	na	reference genome	410837	410837	Pseudarthrobacter defluvii	strain=E5	na	latest	Complete Genome	Major	Full	2023-06-22	ASM3032386v1	Wuhan University	GCA_030323865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/323/865/GCF_030323865.1_ASM3032386v1	na	na	na        	haploid	bacteria	4513380	4513380	66.0	4	4	4	NCBI RefSeq	GCF_030323865.1-RS_2024_06_22	2024-06-22	4215	4108	69	na
GCF_026344055.1	PRJNA224116	SAMN31693419	JAPKNF000000000.1	reference genome	410839	410839	Kaistia geumhonensis	strain=DSM 18799	na	latest	Contig	Major	Full	2022-11-23	ASM2634405v1	University of Neuchatel	GCA_026344055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/344/055/GCF_026344055.1_ASM2634405v1	na	assembly from type material	na        	haploid	bacteria	4581777	4581777	68.0	0	6	6	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-05	4351	4276	53	na
GCF_026343995.1	PRJNA224116	SAMN31693420	JAPKNG000000000.1	reference genome	410840	410840	Kaistia dalseonensis	strain=DSM 18800	na	latest	Contig	Major	Full	2022-11-23	ASM2634399v1	University of Neuchatel	GCA_026343995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/343/995/GCF_026343995.1_ASM2634399v1	na	assembly from type material	na        	haploid	bacteria	5184115	5184115	65.0	0	11	11	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-05	4904	4807	54	na
GCF_026343955.1	PRJNA224116	SAMN31693422	JAPKNI000000000.1	reference genome	410841	410841	Kaistia defluvii	strain=JCM 18034	na	latest	Contig	Major	Full	2022-11-23	ASM2634395v1	University of Neuchatel	GCA_026343955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/343/955/GCF_026343955.1_ASM2634395v1	na	assembly from type material	na        	haploid	bacteria	4901180	4901180	65.5	0	21	21	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-02	4579	4484	57	na
GCF_000060345.1	PRJNA224116	SAMEA2272667	na	reference genome	411154	411153	Christiangramia forsetii KT0803	strain=KT0803	na	latest	Complete Genome	Major	Full	2006-11-06	ASM6034v1	Max Planck Institute for Molecular Genetics	GCA_000060345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/060/345/GCF_000060345.1_ASM6034v1	na	assembly from type material	na        	haploid	bacteria	3798465	3798465	36.5	1	1	1	NCBI RefSeq	GCF_000060345.1-RS_2024_04_15	2024-04-15	3470	3395	58	17107561
GCF_000787835.1	PRJNA224116	SAMD00022876	BBPP00000000.1	reference genome	411235	411235	Streptacidiphilus melanogenes	strain=NBRC 103184	na	latest	Scaffold	Major	Full	2014-11-20	ASM78783v1	National Institute of Technology and Evaluation Biological Resource Center	GCA_000787835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/835/GCF_000787835.1_ASM78783v1	na	assembly from type material	na        	haploid	bacteria	8771919	8724991	72.0	0	107	107	NCBI RefSeq	GCF_000787835.1-RS_2024_08_08	2024-08-08	8059	7753	81	25573937
GCF_025147765.1	PRJNA224116	SAMN20222666	na	reference genome	411459	40520	Blautia obeum ATCC 29174	strain=ATCC 29174	na	latest	Complete Genome	Major	Full	2022-09-12	ASM2514776v1	Stanford University	GCA_025147765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/147/765/GCF_025147765.1_ASM2514776v1	na	assembly from type material	na        	haploid	bacteria	3649956	3649956	41.5	1	1	1	NCBI RefSeq	GCF_025147765.1-RS_2024_04_07	2024-04-07	3503	3360	78	36070752
GCF_000154225.1	PRJNA224116	SAMN00627054	AAYI00000000.2	reference genome	411466	3050224	Schaalia dentiphila ATCC 17982	strain=ATCC 17982	na	latest	Scaffold	Major	Full	2007-05-25	ASM15422v1	Washington University Genome Sequencing Center	GCA_000154225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/225/GCF_000154225.1_ASM15422v1	na	assembly from type material	na        	haploid	bacteria	2393958	2393758	65.5	0	2	4	NCBI RefSeq	GCF_000154225.1-RS_2024_06_09	2024-06-09	2078	2000	60	na
GCF_000169255.2	PRJNA224116	SAMN00627059	AAXG00000000.2	reference genome	411467	106588	Pseudoflavonifractor capillosus ATCC 29799	strain=ATCC 29799	na	latest	Contig	Major	Full	2009-02-09	ASM16925v2	Washington University Genome Sequencing Center	GCA_000169255.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/255/GCF_000169255.2_ASM16925v2	na	assembly from type material	na        	haploid	bacteria	4241076	4241076	59.0	0	65	65	NCBI RefSeq	GCF_000169255.2-RS_2024_04_11	2024-04-11	4067	3900	68	na
GCF_004295125.1	PRJNA224116	SAMN10519000	na	reference genome	411468	29347	[Clostridium] scindens ATCC 35704	strain=ATCC 35704	na	latest	Complete Genome	Major	Full	2019-02-25	ASM429512v1	UIUC	GCA_004295125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/295/125/GCF_004295125.1_ASM429512v1	na	assembly from type material	na        	haploid	bacteria	3658040	3658040	46.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	3767	3586	74	30737348
GCF_009831375.1	PRJNA224116	SAMN08398974	na	reference genome	411470	33038	Mediterraneibacter gnavus ATCC 29149	strain=ATCC 29149	na	latest	Complete Genome	Major	Full	2020-01-06	ASM983137v1	Kyungpook National University	GCA_009831375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/831/375/GCF_009831375.1_ASM983137v1	na	assembly from type material	na        	haploid	bacteria	3549191	3549191	43.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-29	3556	3416	77	na
GCF_010509575.1	PRJNA224116	SAMN13925611	na	reference genome	411483	411483	Faecalibacterium duncaniae	strain=JCM 31915	na	latest	Complete Genome	Major	Full	2020-02-13	ASM1050957v1	National Institute of Advanced Industrial Science and Technology, Biomedical Research Institute	GCA_010509575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/509/575/GCF_010509575.1_ASM1050957v1	na	assembly from type material	na        	haploid	bacteria	3102523	3102523	56.5	1	1	1	NCBI RefSeq	GCF_010509575.1-RS_2024_04_30	2024-04-30	3008	2871	85	na
GCF_000154385.1	PRJNA224116	SAMN02299416	ABED00000000.2	reference genome	411485	853	Faecalibacterium prausnitzii M21/2	strain=M21/2	na	latest	Scaffold	Major	Full	2007-09-12	ASM15438v1	Washington University Genome Sequencing Center	GCA_000154385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/385/GCF_000154385.1_ASM15438v1	na	na	na        	haploid	bacteria	3127383	3126983	56.0	0	25	29	NCBI RefSeq	GCF_000154385.1-RS_2024_04_10	2024-04-10	3027	2896	87	na
GCF_016908115.1	PRJNA224116	SAMN17619987	JAFBDH000000000.1	reference genome	411567	411567	Peptoniphilus gorbachii	strain=DSM 21461	na	latest	Contig	Major	Full	2021-02-19	ASM1690811v1	DOE Joint Genome Institute	GCA_016908115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/908/115/GCF_016908115.1_ASM1690811v1	na	assembly from type material	na        	haploid	bacteria	1865235	1865235	31.5	0	18	18	NCBI RefSeq	GCF_016908115.1-RS_2024_03_28	2024-03-28	1829	1760	35	na
GCF_040545475.1	PRJNA224116	SAMN41513540	JBEPMA000000000.1	reference genome	411570	411570	Peptoniphilus olsenii	strain=DSM 21460	na	latest	Contig	Major	Full	2024-07-08	ASM4054547v1	DOE Joint Genome Institute	GCA_040545475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/545/475/GCF_040545475.1_ASM4054547v1	na	assembly from type material	na        	haploid	bacteria	2053238	2053238	30.0	0	33	33	NCBI RefSeq	GCF_040545475.1-RS_2024_07_09	2024-07-09	2023	1953	39	na
GCF_019957155.1	PRJNA224116	SAMN20888877	JAIPME000000000.1	reference genome	411577	411577	Anaerococcus murdochii	strain=FDAARGOS_1460	na	latest	Contig	Major	Full	2021-09-13	ASM1995715v1	US Food and Drug Administration	GCA_019957155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/957/155/GCF_019957155.1_ASM1995715v1	na	assembly from type material	na        	haploid	bacteria	2249959	2249959	35.0	0	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-11-02	2237	2137	58	na
GCF_000154705.2	PRJNA224116	SAMN02436119	ABIA00000000.3	reference genome	411684	244596	Hoeflea phototrophica DFL-43	strain=DFL-43	na	latest	Chromosome	Major	Full	2014-09-24	ASM15470v2	The Gordon and Betty Moore Foundation Microbial Genome Sequencing Project	GCA_000154705.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/705/GCF_000154705.2_ASM15470v2	na	assembly from type material	na        	haploid	bacteria	4468465	4467792	60.0	1	1	5	NCBI RefSeq	GCF_000154705.2-RS_2024_04_30	2024-04-30	4227	4123	57	na
GCF_010509075.1	PRJNA224116	SAMN13925608	na	reference genome	411903	74426	Collinsella aerofaciens ATCC 25986	strain=JCM 10188	na	latest	Complete Genome	Major	Full	2020-02-13	ASM1050907v1	National Institute of Advanced Industrial Science and Technology, Biomedical Research Institute	GCA_010509075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/509/075/GCF_010509075.1_ASM1050907v1	na	assembly from type material	na        	haploid	bacteria	2455328	2455328	60.5	3	3	3	NCBI RefSeq	GCF_010509075.1-RS_2024_04_01	2024-04-01	2197	2110	76	na
GCF_900094545.1	PRJNA224116	SAMN04487813	FMAH00000000.1	reference genome	411945	411945	Rhizobium miluonense	strain=HAMBI 2971	na	latest	Scaffold	Major	Full	2016-08-04	IMG-taxon 2617270742 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900094545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/094/545/GCF_900094545.1_IMG-taxon_2617270742_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	6808054	6806524	59.5	0	103	103	NCBI RefSeq	GCF_900094545.1-RS_2024_04_30	2024-04-30	6511	6285	54	na
GCF_900129865.1	PRJNA224116	SAMN05421807	FQXD00000000.1	reference genome	411959	411959	Virgibacillus chiguensis	strain=CGMCC 1.6496	na	latest	Scaffold	Major	Full	2016-12-03	IMG-taxon 2675903063 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900129865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/129/865/GCF_900129865.1_IMG-taxon_2675903063_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	4128320	4118244	36.5	0	45	45	NCBI RefSeq	GCF_900129865.1-RS_2024_04_25	2024-04-25	3927	3792	70	na
GCF_002142475.1	PRJNA224116	SAMD00019988	na	reference genome	411966	1184	Leptolyngbya boryana IAM M-101	strain=IAM M-101	na	latest	Complete Genome	Major	Full	2015-02-14	ASM214247v1	Graduate School of Bioagricultural Sciences, Nagoya University	GCA_002142475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/142/475/GCF_002142475.1_ASM214247v1	na	na	na        	haploid	bacteria	6803468	6803468	47.0	4	4	4	NCBI RefSeq	GCF_002142475.1-RS_2024_10_23	2024-10-23	6445	6302	80	25416288
GCF_914590485.1	PRJNA224116	SAMEA9554956	na	reference genome	412034	412034	Celerinatantimonas diazotrophica	na	CEDIAZO1	latest	Complete Genome	Major	Full	2021-09-16	CEDIAZO_illumina_assembly	Max Planck Institute for Marine Microbiology	GCA_914590485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/914/590/485/GCF_914590485.1_CEDIAZO_illumina_assembly	na	na	na        	haploid	bacteria	4005136	4005136	43.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-11-04	3680	3502	102	na
GCF_002688605.1	PRJNA224116	SAMN07785025	na	reference genome	412384	412384	Priestia aryabhattai	strain=K13	na	latest	Complete Genome	Major	Full	2017-10-24	ASM268860v1	Chonbuk National University	GCA_002688605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/688/605/GCF_002688605.1_ASM268860v1	na	na	na        	haploid	bacteria	5254250	5254250	38.0	3	3	3	NCBI RefSeq	GCF_002688605.1-RS_2024_03_28	2024-03-28	5491	5265	178	na
GCF_039531585.1	PRJNA224116	SAMD00645294	BAAAQI000000000.1	reference genome	412417	412417	Streptomonospora arabica	strain=JCM 16007	na	latest	Scaffold	Major	Full	2024-02-23	ASM3953158v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_039531585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/531/585/GCF_039531585.1_ASM3953158v1	na	assembly from type material	na        	haploid	bacteria	5955997	5955601	73.0	0	51	51	NCBI RefSeq	GCF_039531585.1-RS_2024_05_10	2024-05-10	5144	5036	63	30832757
GCF_000019705.1	PRJNA224116	SAMN02603586	na	reference genome	412418	44449	Borrelia recurrentis A1	strain=A1	na	latest	Complete Genome	Major	Full	2008-09-15	ASM1970v1	Marseille-Nice Genopole	GCA_000019705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/705/GCF_000019705.1_ASM1970v1	na	assembly designated as reftype	na        	haploid	bacteria	1242163	1242163	27.5	8	8	8	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-15	1226	1091	38	na
GCF_000019685.1	PRJNA224116	SAMN02603585	na	reference genome	412419	40834	Borrelia duttonii Ly	strain=Ly	na	latest	Complete Genome	Major	Full	2008-09-15	ASM1968v1	Marseille-Nice Genopole	GCA_000019685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/685/GCF_000019685.1_ASM1968v1	na	assembly designated as reftype	na        	haploid	bacteria	1574881	1574881	28.0	17	17	17	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-11-09	1565	1412	38	18787695
GCF_039523055.1	PRJNA224116	SAMD00644988	BAAAEO000000000.1	reference genome	412437	412437	Rheinheimera aquimaris	strain=JCM 14331	na	latest	Contig	Major	Full	2024-02-23	ASM3952305v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_039523055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/523/055/GCF_039523055.1_ASM3952305v1	na	assembly from type material	na        	haploid	bacteria	4234958	4234958	49.5	0	12	12	NCBI RefSeq	GCF_039523055.1-RS_2024_05_10	2024-05-10	3918	3828	76	30832757
GCF_006717145.1	PRJNA224116	SAMN12024894	VFQF00000000.1	reference genome	412689	412689	Humibacillus xanthopallidus	strain=DSM 21776	na	latest	Contig	Major	Full	2019-07-08	ASM671714v1	DOE Joint Genome Institute	GCA_006717145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/717/145/GCF_006717145.1_ASM671714v1	na	assembly from type material	na        	haploid	bacteria	5390744	5390744	71.0	0	3	3	NCBI RefSeq	GCF_006717145.1-RS_2024_05_04	2024-05-04	4765	4672	58	na
