assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	domain	kingdom	phylum	class	order	family	genus	suborder	subclass	clade	no rank	species group	species subgroup	species	subfamily	tribe	subspecies	serotype	forma specialis	pathogroup	strain	subgenus
GCF_900080145.1	PRJNA224116	SAMEA3935975	FLRF00000000.1	reference genome	189385	189385	Candidatus Tremblaya princeps	na	TREMTM	latest	Contig	Major	Full	2016-07-16	TREMTM	Division of Microbial Ecology Department of Microbiology and Ecosystem Science University of Vienna	GCA_900080145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/080/145/GCF_900080145.1_TREMTM	na	na	na        	haploid	bacteria	137475	137475	58.5	0	4	4	NCBI RefSeq	GCF_900080145.1-RS_2024_03_31	2024-03-31	94	68	19	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Tremblaya				Betaproteobacteria incertae sedis											
GCF_001709345.1	PRJNA224116	SAMN05589748	MDTQ00000000.1	reference genome	197479	197479	Terasakiispira papahanaumokuakeensis	strain=PH27A	na	latest	Scaffold	Major	Full	2016-08-23	ASM170934v1	University of Hawaii at Manoa	GCA_001709345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/709/345/GCF_001709345.1_ASM170934v1	na	assembly from type material	na        	haploid	bacteria	4048029	4031051	51.5	0	2	2	NCBI RefSeq	GCF_001709345.1-RS_2024_05_02	2024-05-02	3514	3431	71	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Oceanospirillales		Terasakiispira				Oceanospirillales incertae sedis											
GCF_011947365.2	PRJNA224116	SAMN14329652	JAAVSH000000000.2	reference genome	205975	205975	endosymbiont of Lamellibrachia barhami	na	D756_A12_LB11	latest	Scaffold	Major	Full	2020-07-08	ASM1194736v2	University of Rhode Island	GCA_011947365.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/947/365/GCF_011947365.2_ASM1194736v2	na	na	na        	haploid	bacteria	4169104	4123172	54.5	0	19	19	NCBI RefSeq	GCF_011947365.2-RS_2024_08_08	2024-08-08	3880	3698	48	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Chromatiales						unclassified Chromatiales											
GCF_002803985.1	PRJNA224116	SAMN05429629	na	reference genome	214888	214888	Williamsoniiplasma luminosum	strain=PIMN-1	na	latest	Complete Genome	Major	Full	2017-12-04	ASM280398v1	Academia Sinica	GCA_002803985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/803/985/GCF_002803985.1_ASM280398v1	na	assembly from type material	na        	haploid	bacteria	1031560	1031560	30.0	1	1	1	NCBI RefSeq	GCF_002803985.1-RS_2024_03_28	2024-03-28	900	861	38	30102350;2223610	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales		Williamsoniiplasma															
GCF_002804005.1	PRJNA224116	SAMN05429912	na	reference genome	215578	215578	Williamsoniiplasma somnilux	strain=PYAN-1	na	latest	Complete Genome	Major	Full	2017-12-04	ASM280400v1	Academia Sinica	GCA_002804005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/804/005/GCF_002804005.1_ASM280400v1	na	assembly from type material	na        	haploid	bacteria	868413	868413	28.0	1	1	1	NCBI RefSeq	GCF_002804005.1-RS_2024_03_28	2024-03-28	764	722	38	2223610;30102350	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales		Williamsoniiplasma															
GCF_002994635.1	PRJNA224116	SAMN08580376	PVNL00000000.1	reference genome	215803	215803	Enhygromyxa salina	strain=SWB007	na	latest	Contig	Major	Full	2018-03-12	ASM299463v1	Goettingen Genomics Laboratory	GCA_002994635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/994/635/GCF_002994635.1_ASM299463v1	na	na	na        	haploid	bacteria	10602692	10602692	68.0	0	192	192	NCBI RefSeq	GCF_002994635.1-RS_2024_08_28	2024-08-28	8311	8170	63	na	Bacteria	Pseudomonadati	Myxococcota		Nannocystales	Nannocystaceae	Enhygromyxa		Polyangia													
GCF_012939995.1	PRJNA224116	SAMN11179416	SPMZ00000000.1	reference genome	221280	221280	Candidatus Competibacter phosphatis	strain=SBR_G	na	latest	Contig	Major	Full	2020-05-01	ASM1293999v1	Columbia University	GCA_012939995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/939/995/GCF_012939995.1_ASM1293999v1	na	na	na        	haploid	bacteria	4385650	4385650	60.5	0	121	121	NCBI RefSeq	GCF_012939995.1-RS_2024_03_31	2024-03-31	4375	3932	55	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria		Candidatus Competibacteraceae	Candidatus Competibacter				Gammaproteobacteria incertae sedis											
GCF_900167455.1	PRJNA224116	SAMN02745126	FUWJ00000000.1	reference genome	225324	225324	Enhydrobacter aerosaccus	strain=ATCC 27094	na	latest	Scaffold	Major	Full	2017-03-04	IMG-taxon 2582581318 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900167455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/167/455/GCF_900167455.1_IMG-taxon_2582581318_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	6769764	6767089	64.5	0	30	30	NCBI RefSeq	GCF_900167455.1-RS_2024_03_12	2024-03-12	6588	6459	54	na	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales		Enhydrobacter				Hyphomicrobiales incertae sedis											
GCF_001298715.1	PRJNA224116	SAMEA3214417	CDSC00000000.2	reference genome	235205	235205	Bathymodiolus azoricus thioautotrophic gill symbiont	strain=BazSymA	na	latest	Contig	Major	Full	2016-10-27	BazSymAV2	MAX PLANCK INSTITUTE FOR MARINE MICROBIOLOGY	GCA_001298715.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/715/GCF_001298715.1_BazSymAV2	na	na	na        	haploid	bacteria	1859850	1859850	37.5	0	515	515	NCBI RefSeq	GCF_001298715.1-RS_2024_04_02	2024-04-02	1952	1785	40	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria						sulfur-oxidizing symbionts	Gammaproteobacteria incertae sedis											
GCF_013408715.1	PRJNA224116	SAMN14503169	JACCCZ000000000.1	reference genome	237656	237656	Pseudonocardia antarctica	strain=DSM 44749	na	latest	Contig	Major	Full	2020-07-13	ASM1340871v1	DOE Joint Genome Institute	GCA_013408715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/408/715/GCF_013408715.1_ASM1340871v1	na	assembly from type material	na        	haploid	bacteria	6242493	6242493	74.0	0	2	2	NCBI RefSeq	GCF_013408715.1-RS_2024_09_29	2024-09-29	5861	5714	67	na																						
GCF_000027325.1	PRJNA224116	SAMN02603983	na	reference genome	243273	2097	Mycoplasmoides genitalium G37	strain=G-37	na	latest	Complete Genome	Major	Full	2006-01-09	ASM2732v1	TIGR	GCA_000027325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/325/GCF_000027325.1_ASM2732v1	na	assembly from type material	na        	haploid	bacteria	580076	580076	31.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	568	517	42	16407165;7569993	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides							Mycoplasmoides genitalium								
GCF_001584725.1	PRJNA224116	SAMN04506047	na	reference genome	243899	243899	endosymbiont 'TC1' of Trimyema compressum	strain=not applicalbe	TC1	latest	Complete Genome	Major	Full	2016-03-10	ASM158472v1	University of the Ryukyus	GCA_001584725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/584/725/GCF_001584725.1_ASM158472v1	na	na	na        	haploid	bacteria	1622248	1622248	33.0	2	2	2	NCBI RefSeq	GCF_001584725.1-RS_2024_05_02	2024-05-02	2197	1934	46	na	Bacteria	Bacillati	Bacillota								unclassified Bacillota											
GCF_007556585.1	PRJNA224116	SAMN12027909	VJNA00000000.1	reference genome	247482	247482	Tepidimonas aquatica	strain=CLN-1	na	latest	Contig	Major	Full	2019-07-26	ASM755658v1	Biocant	GCA_007556585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/556/585/GCF_007556585.1_ASM755658v1	na	assembly from type material	na        	haploid	bacteria	2672904	2672904	68.5	0	97	97	NCBI RefSeq	GCF_007556585.1-RS_2024_05_04	2024-05-04	2654	2458	63	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Tepidimonas				Burkholderiales genera incertae sedis											
GCF_900608495.1	PRJNA224116	SAMEA104020357	UWYT00000000.1	reference genome	260710	260710	Olavius algarvensis spirochete endosymbiont	na	1	latest	Contig	Major	Full	2018-11-18	OalgB6SA-Spiro	MAX PLANCK INSTITUTE FOR MARINE MICROBIOLOGY	GCA_900608495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/608/495/GCF_900608495.1_OalgB6SA-Spiro	na	na	na        	haploid	bacteria	2121330	2121330	47.0	0	340	340	NCBI RefSeq	GCF_900608495.1-RS_2024_08_24	2024-08-24	2094	1963	47	na	Bacteria	Pseudomonadati	Spirochaetota	Spirochaetia	Spirochaetales						unclassified Spirochaetales											
GCF_000019905.1	PRJNA224116	SAMN00120225	na	reference genome	262543	340145	Exiguobacterium sibiricum 255-15	strain=255-15	na	latest	Complete Genome	Major	Full	2008-04-03	ASM1990v1	US DOE Joint Genome Institute	GCA_000019905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/905/GCF_000019905.1_ASM1990v1	na	assembly from synonym type material	na        	haploid	bacteria	3040786	3040786	47.5	3	3	3	NCBI RefSeq	GCF_000019905.1-RS_2024_08_05	2024-08-05	3159	3034	100	16489412;19019206	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis			Exiguobacterium artemiae								
GCF_000008205.1	PRJNA224116	SAMN02603526	na	reference genome	262719	2099	Mesomycoplasma hyopneumoniae J	strain=J	na	latest	Complete Genome	Major	Full	2005-08-05	ASM820v1	LNCC - Laboratorio Nacional de Computacao Cientifica	GCA_000008205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/205/GCF_000008205.1_ASM820v1	na	assembly from type material	na        	haploid	bacteria	897405	897405	28.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-26	723	681	36	16077101	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mesomycoplasma							Mesomycoplasma hyopneumoniae								
GCF_030717955.1	PRJNA224116	SAMN36510742	JAUZVY000000000.1	reference genome	265981	265981	Alkalimonas delamerensis	strain=1E1	na	latest	Contig	Major	Full	2023-08-13	ASM3071795v1	National Centre For Cell Science (NCCS)	GCA_030717955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/717/955/GCF_030717955.1_ASM3071795v1	na	assembly from type material	na        	haploid	bacteria	3453617	3453617	53.5	0	16	16	NCBI RefSeq	GCF_030717955.1-RS_2024_08_13	2024-08-13	3172	3088	69	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria			Alkalimonas				Gammaproteobacteria incertae sedis											
GCF_000008365.1	PRJNA224116	SAMN03081417	na	reference genome	267748	2118	Mycoplasma mobile 163K	strain=163K	na	latest	Complete Genome	Major	Full	2004-05-18	ASM836v1	Broad Institute	GCA_000008365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/365/GCF_000008365.1_ASM836v1	na	assembly from type material	na        	haploid	bacteria	777079	777079	25.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	693	654	34	15289470	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mesomycoplasma							[Mycoplasma] mobile								
GCF_000011225.1	PRJNA224116	SAMD00061084	na	reference genome	272633	28227	Malacoplasma penetrans HF-2	strain=HF-2	na	latest	Complete Genome	Major	Full	2004-05-11	ASM1122v1	NIID Japan	GCA_000011225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/225/GCF_000011225.1_ASM1122v1	na	na	na        	haploid	bacteria	1358633	1358633	25.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-15	1070	1025	36	12466555	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Malacoplasma							Malacoplasma penetrans								
GCF_000021865.1	PRJNA224116	SAMN02604080	na	reference genome	272942	1061	Rhodobacter capsulatus SB 1003	strain=SB 1003	na	latest	Complete Genome	Major	Full	2010-04-09	ASM2186v1	Univ. Chicago	GCA_000021865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/865/GCF_000021865.1_ASM2186v1	na	na	na        	haploid	bacteria	3871920	3871920	66.5	2	2	2	NCBI RefSeq	GCF_000021865.1-RS_2024_10_21	2024-10-21	3733	3617	69	20418398	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales		Rhodobacter				Rhodobacter group			Rhodobacter capsulatus								
GCF_025234735.1	PRJNA224116	SAMN29987054	JANIEL000000000.1	reference genome	273527	273527	Exiguobacterium aestuarii	strain=TF_16	na	latest	Contig	Major	Full	2022-09-16	ASM2523473v1	Anhui Normal University	GCA_025234735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/234/735/GCF_025234735.1_ASM2523473v1	na	assembly from type material	na        	haploid	bacteria	2807643	2807643	47.5	0	167	167	NCBI RefSeq	GCF_025234735.1-RS_2024_09_29	2024-09-29	3015	2940	30	na	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis											
GCF_039530965.1	PRJNA224116	SAMD00645263	BAAAPD000000000.1	reference genome	280237	280237	Nocardiopsis rosea	strain=JCM 15314	na	latest	Scaffold	Major	Full	2024-02-23	ASM3953096v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_039530965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/530/965/GCF_039530965.1_ASM3953096v1	na	assembly from type material	na        	haploid	bacteria	6092990	6092950	69.5	0	128	128	NCBI RefSeq	GCF_039530965.1-RS_2024_05_10	2024-05-10	5394	5251	71	30832757																						
GCF_000183385.1	PRJNA224116	SAMN02604028	na	reference genome	289397	28903	Mycoplasmopsis bovis PG45	strain=PG45	na	latest	Complete Genome	Major	Full	2010-11-30	ASM18338v1	TIGR	GCA_000183385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/385/GCF_000183385.1_ASM18338v1	na	assembly from type material	na        	haploid	bacteria	1003404	1003404	29.5	1	1	1	NCBI RefSeq	GCF_000183385.1-RS_2024_04_07	2024-04-07	883	822	43	21134966	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis							Mycoplasmopsis bovis								
GCF_020162115.1	PRJNA224116	SAMN21531155	na	reference genome	307486	307486	Tepidimonas taiwanensis	strain=LMG 22826	na	latest	Complete Genome	Major	Full	2021-09-28	ASM2016211v1	Brno University of Technology	GCA_020162115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/162/115/GCF_020162115.1_ASM2016211v1	na	assembly from type material	na        	haploid	bacteria	2915587	2915587	68.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-11-05	2758	2647	64	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Tepidimonas				Burkholderiales genera incertae sedis											
GCF_029026745.1	PRJNA224116	SAMN31184852	na	reference genome	307643	307643	Exiguobacterium profundum	strain=TSS-3	na	latest	Complete Genome	Major	Full	2023-03-08	ASM2902674v1	Center for Genomic Sciences	GCA_029026745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/026/745/GCF_029026745.1_ASM2902674v1	na	na	na        	haploid	bacteria	2884728	2884728	48.0	2	2	2	NCBI RefSeq	GCF_029026745.1-RS_2024_03_28	2024-03-28	3006	2877	98	na	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis											
GCF_000172555.1	PRJNA224116	SAMN00000631	ABOX00000000.2	reference genome	320771	1032527	Pedosphaera parvula Ellin514	strain=Ellin514	na	latest	Contig	Major	Full	2009-02-20	ASM17255v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000172555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/555/GCF_000172555.1_ASM17255v1	na	assembly from type material	na        	haploid	bacteria	7414222	7414222	52.5	0	102	102	NCBI RefSeq	GCF_000172555.1-RS_2024_05_05	2024-05-05	6105	5966	70	21460084	Bacteria	Pseudomonadati	Verrucomicrobiota	Verrucomicrobiia	Limisphaerales		Pedosphaera			PVC group	Limisphaerales incertae sedis			Pedosphaera parvula								
GCF_012939955.1	PRJNA224116	SAMN11179415	SPMY00000000.1	reference genome	327160	327160	Candidatus Accumulibacter phosphatis	strain=SBR_S	na	latest	Contig	Major	Full	2020-05-01	ASM1293995v1	Columbia University	GCA_012939955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/939/955/GCF_012939955.1_ASM1293995v1	na	na	na        	haploid	bacteria	5044133	5044133	62.5	0	149	149	NCBI RefSeq	GCF_012939955.1-RS_2024_03_13	2024-03-13	4719	4267	49	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Accumulibacter				Betaproteobacteria incertae sedis											
GCF_004364635.1	PRJNA224116	SAMN09064161	SOAX00000000.1	reference genome	332522	332522	Halospina denitrificans	strain=DSM 15505	na	latest	Scaffold	Major	Full	2019-03-22	ASM436463v1	DOE Joint Genome Institute	GCA_004364635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/364/635/GCF_004364635.1_ASM436463v1	na	assembly from type material	na        	haploid	bacteria	3318232	3317655	60.0	0	16	16	NCBI RefSeq	GCF_004364635.1-RS_2024_04_19	2024-04-19	3096	3008	54	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria			Halospina				Gammaproteobacteria incertae sedis											
GCF_007556705.1	PRJNA224116	SAMN12217616	VJOL00000000.1	reference genome	335431	335431	Tepidimonas thermarum	strain=AA-1	na	latest	Contig	Major	Full	2019-07-26	ASM755670v1	Biocant	GCA_007556705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/556/705/GCF_007556705.1_ASM755670v1	na	assembly from type material	na        	haploid	bacteria	2703753	2703753	68.5	0	129	129	NCBI RefSeq	GCF_007556705.1-RS_2024_05_04	2024-05-04	2665	2504	57	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Tepidimonas				Burkholderiales genera incertae sedis											
GCF_001447915.1	PRJNA224116	SAMN04223556	na	reference genome	336810	336810	Candidatus Karelsulcia muelleri	strain=PUNC	na	latest	Complete Genome	Major	Full	2015-11-24	ASM144791v1	University of Hawaii at Manoa	GCA_001447915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/915/GCF_001447915.1_ASM144791v1	na	na	na        	haploid	bacteria	190657	190657	24.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-03	226	188	35	26798106	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales		Candidatus Karelsulcia			Bacteroidota/Chlorobiota group	Flavobacteriales incertae sedis											
GCF_001418255.1	PRJNA224116	SAMN03840739	LIPV00000000.1	reference genome	339866	339866	Thiomonas bhubaneswarensis	strain=DSM 18181	na	latest	Scaffold	Major	Full	2015-10-28	ASM141825v1	Joint Genome Institute	GCA_001418255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/418/255/GCF_001418255.1_ASM141825v1	na	assembly from type material	na        	haploid	bacteria	3203428	3202793	65.0	0	23	23	NCBI RefSeq	GCF_001418255.1-RS_2024_05_02	2024-05-02	3134	3048	49	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas				Burkholderiales genera incertae sedis											
GCF_025234795.1	PRJNA224116	SAMN29987056	JANIEJ000000000.1	reference genome	340146	340146	Exiguobacterium mexicanum	strain=IMTB_3094	na	latest	Contig	Major	Full	2022-09-16	ASM2523479v1	Anhui Normal University	GCA_025234795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/234/795/GCF_025234795.1_ASM2523479v1	na	assembly from synonym type material	na        	haploid	bacteria	2928986	2928986	52.5	0	135	135	NCBI RefSeq	GCF_025234795.1-RS_2024_08_03	2024-08-03	3093	3037	29	na	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis											
GCF_900128525.1	PRJNA224116	SAMEA4554595	FQTQ00000000.1	reference genome	343235	343235	methanotrophic endosymbiont of Bathymodiolus puteoserpentis (Logatchev)	na	BPUTEOMOX	latest	Scaffold	Major	Full	2020-02-28	BPUTEOMOX	MAX PLANCK INSTITUTE FOR MARINE MICROBIOLOGY	GCA_900128525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/525/GCF_900128525.1_BPUTEOMOX	na	na	na        	haploid	bacteria	3231340	3229695	39.5	0	208	208	NCBI RefSeq	GCF_900128525.1-RS_2024_04_30	2024-04-30	3130	2982	53	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria							unclassified Gammaproteobacteria											
GCF_900127505.1	PRJNA224116	SAMEA4553731	UEXF00000000.1	reference genome	343240	343240	thiotrophic endosymbiont of Bathymodiolus puteoserpentis (Logatchev)	na	BPUTEOSOX	latest	Scaffold	Major	Full	2019-05-28	BPUTEOSOX	MAX PLANCK INSTITUTE FOR MARINE MICROBIOLOGY	GCA_900127505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/127/505/GCF_900127505.1_BPUTEOSOX	na	na	na        	haploid	bacteria	2189522	2005874	37.5	0	81	81	NCBI RefSeq	GCF_900127505.1-RS_2024_04_30	2024-04-30	2021	1900	36	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria							unclassified Gammaproteobacteria											
GCF_000063605.1	PRJNA224116	SAMEA3138268	na	reference genome	347257	2110	Mycoplasmopsis agalactiae PG2	strain=PG2	na	latest	Complete Genome	Major	Full	2007-05-24	ASM6360v1	Genoscope	GCA_000063605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/605/GCF_000063605.1_ASM6360v1	na	assembly from type material	na        	haploid	bacteria	877438	877438	29.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-26	813	761	43	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis							Mycoplasmopsis agalactiae								
GCF_000016545.1	PRJNA224116	SAMN00623033	na	reference genome	351627	44001	Caldicellulosiruptor saccharolyticus DSM 8903	strain=DSM 8903	na	latest	Complete Genome	Major	Full	2007-04-19	ASM1654v1	US DOE Joint Genome Institute	GCA_000016545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/545/GCF_000016545.1_ASM1654v1	na	assembly from type material	na        	haploid	bacteria	2970275	2970275	35.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-25	2931	2773	59	18776029	Bacteria	Bacillati	Bacillota		Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor				Bacillota incertae sedis			Caldicellulosiruptor saccharolyticus								
GCF_004363315.1	PRJNA224116	SAMN09074868	SNYL00000000.1	reference genome	360241	360241	Tepidicella xavieri	strain=DSM 19605	na	latest	Scaffold	Major	Full	2019-03-22	ASM436331v1	DOE Joint Genome Institute	GCA_004363315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/363/315/GCF_004363315.1_ASM436331v1	na	assembly from type material	na        	haploid	bacteria	2790625	2790151	66.0	0	36	36	NCBI RefSeq	GCF_004363315.1-RS_2024_05_04	2024-05-04	2731	2645	61	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Tepidicella				Burkholderiales genera incertae sedis											
GCF_900088825.1	PRJNA224116	SAMEA4025135	FLMQ00000000.1	reference genome	364030	364030	Thiomonas delicata	strain=DSM 16361	na	latest	Scaffold	Major	Full	2017-07-28	BBA-D_PRJEB14160_v1	Genoscope CEA	GCA_900088825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/088/825/GCF_900088825.1_BBA-D_PRJEB14160_v1	na	assembly from synonym type material	na        	haploid	bacteria	3841141	3832428	65.5	0	54	58	NCBI RefSeq	GCF_900088825.1-RS_2024_05_03	2024-05-03	3658	3525	50	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas				Burkholderiales genera incertae sedis											
GCF_002846615.1	PRJNA224116	SAMN04489734	PJMY00000000.1	reference genome	369930	369930	Amycolatopsis echigonensis	strain=DSM 45165	na	latest	Contig	Major	Full	2017-12-21	ASM284661v1	DOE Joint Genome Institute	GCA_002846615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/846/615/GCF_002846615.1_ASM284661v1	na	assembly from synonym type material	na        	haploid	bacteria	9312963	9312963	69.5	0	3	3	NCBI RefSeq	GCF_002846615.1-RS_2024_08_07	2024-08-07	8998	8766	73	na																						
GCF_026337845.1	PRJNA224116	SAMN31156306	JAOVZF000000000.1	reference genome	376150	376150	Paraliomyxa miuraensis	strain=SMH-27-4	na	latest	Scaffold	Major	Full	2022-11-23	ASM2633784v1	Nagoya University	GCA_026337845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/337/845/GCF_026337845.1_ASM2633784v1	na	assembly from type material	na        	haploid	bacteria	11848290	11847868	69.5	0	164	164	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-05	9266	9152	84	na	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales		Paraliomyxa				Myxococcales incertae sedis											
GCF_025234715.1	PRJNA224116	SAMN29987058	JANIEI000000000.1	reference genome	384621	384621	Exiguobacterium himgiriensis	strain=K22_26	na	latest	Contig	Major	Full	2022-09-16	ASM2523471v1	Anhui Normal University	GCA_025234715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/234/715/GCF_025234715.1_ASM2523471v1	na	assembly from type material	na        	haploid	bacteria	2963334	2963334	51.0	0	151	151	NCBI RefSeq	GCF_025234715.1-RS_2024_09_29	2024-09-29	3145	3075	24	na	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis											
