Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination	superkingdom	kingdom	phylum	class	order	family	genus	species	domain
GCF_017493175.3	ASM1749317v3	Bradyrhizobium quebecense	2748629	OK		GCF_017493175.3-RS_2024_03_28	8753169	2.0	Complete Genome	2021-12-15		8549412	8549412.0	2.0	PacBio Sequel	Agriculture and Agri-Food Canada	PRJNA714947	SAMN18321481	8247	7911	278.0		Bradyrhizobium	100.0	0.96	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium		
GCF_012516355.1	ASM1251635v1	Chitinophaga oryzae	2725414	OK		GCF_012516355.1-RS_2024_05_05	8511252	1.0	Complete Genome	2020-04-19		8511252	8511252.0	1.0	Illumina MiSeq; PacBio RSII	King Mongkut's Institute of Technology Ladkraabang	PRJNA623709	SAMN14558177	6720	6614	10.0		Chitinophagaceae	98.32	3.35	Bacteria	Pseudomonadati	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga		
GCF_030719275.1	ASM3071927v1	Streptomyces laculatispora	887464	Inconclusive		GCF_030719275.1-RS_2024_08_14	8645539	5.0	Complete Genome	2023-08-14		8504600	8504600.0	5.0	Oxford Nanopore PromethION	DNASense ApS	PRJNA942517	SAMN33694644	7651	7147	413.0		Streptomyces	98.81	0.38	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_036170895.1	ASM3617089v1	Streptomyces erythrochromogenes	285574	Inconclusive		GCF_036170895.1-RS_2024_12_11	8598676	2.0	Complete Genome	2024-01-25		8498532	8498532.0	2.0	Oxford Nanopore MinION and Illumina	Technical University of Denmark	PRJNA747871	SAMN30552999	7953	7638	219.0		Streptomyces	100.0	0.02	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_047456005.1	ASM4745600v1	Streptoverticillium reticulum	1433415	Inconclusive		GCF_047456005.1-RS_2025_02_06	8499774	3.0	Complete Genome	2025-02-06		8381923	8381923.0	3.0	PacBio	School of Life Sciences, Henan University	PRJNA1215289	SAMN46400532	7666	7408	157.0		Streptomyces	99.53	2.6	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_014217565.1	ASM1421756v1	Kribbella qitaiheensis	1544730	Inconclusive		GCF_014217565.1-RS_2024_05_05	8156807	1.0	Complete Genome	2020-08-17		8156807	8156807.0	1.0	PacBio RSII	University of New South Wales	PRJNA554385	SAMN12282933	7941	7611	258.0		Actinobacteria	88.5	2.94	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella		
GCF_041519305.1	ASM4151930v1	Streptomyces luteireticuli	173858	OK		GCF_041519305.1-RS_2024_08_28	8724805	4.0	Complete Genome	2024-08-29		7906413	7906413.0	4.0	PacBio Sequel	Institute of Environment and Plant Protection, Chinese Academy of Tropical Agricultural Sciences	PRJNA1144677	SAMN43041998	7957	7663	190.0		Streptomyces	99.53	3.05	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_036345975.1	ASM3634597v1	Streptomyces clavifer	68188	OK		GCF_036345975.1-RS_2024_12_11	8241378	3.0	Complete Genome	2024-02-02		7749650	7749650.0	3.0	Oxford Nanopore MinION and Illumina	Technical University of Denmark	PRJNA747871	SAMN30553134	7192	6906	196.0		Streptomyces	99.91	0.38	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_014023275.1	ASM1402327v1	Nostoc edaphicum CCNP1411	1472755	Inconclusive		GCF_014023275.1-RS_2024_03_28	8316316	6.0	Complete Genome	2020-07-31		7733505	7733505.0	6.0	Oxford Nanopore GridION; Illumina MiSeq	University of Gdansk	PRJNA638531	SAMN15196599	7054	6706	264.0		Nostoc	98.4	3.06	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc edaphicum	
GCF_013394065.1	ASM1339406v1	Streptomyces rectiverticillatus	173860	Inconclusive		GCF_013394065.1-RS_2024_05_05	7679243	1.0	Complete Genome	2020-07-08		7679243	7679243.0	1.0	PacBio Sequel	NIDDK, NIH	PRJNA545298	SAMN11882080	6642	6394	149.0		Streptomyces	99.53	2.45	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_026000115.1	ASM2600011v1	Aureispira anguillae	2864201	Inconclusive		GCF_026000115.1-RS_2024_12_09	7793157	3.0	Complete Genome	2022-10-07		7583665	7583665.0	3.0	MinION; illumina HiSeq	Laboratory of Fish Diseases, Faculty of Veterinary Medicine, Okayama University of Science	PRJDB13848	SAMD00513442	5998	5903	13.0		Saprospiraceae	97.0	8.06	Bacteria	Pseudomonadati	Bacteroidota	Saprospiria	Saprospirales	Saprospiraceae	Aureispira		
GCF_034262375.1	ASM3426237v1	Mucilaginibacter sabulilitoris	1173583	Inconclusive		GCF_034262375.1-RS_2024_12_09	7552305	1.0	Complete Genome	2023-12-11		7552305	7552305.0	1.0	PacBio Sequel	University of California, Los Angeles	PRJNA1045330	SAMN38441059	6381	6299	25.0		Sphingobacteriaceae	97.14	1.21	Bacteria	Pseudomonadati	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		
GCF_045276965.1	ASM4527696v1	Streptomyces althioticus	83380	OK		GCF_045276965.1-RS_2024_11_26	7542023	1.0	Complete Genome	2024-11-26		7542023	7542023.0	1.0	Oxford Nanopore MinION and Illumina	Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark	PRJNA747871	SAMN30553394	6811	6614	106.0		Streptomyces	100.0		Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_045207185.1	ASM4520718v1	Streptomyces halstedii	1944	OK		GCF_045207185.1-RS_2024_12_16	7849026	2.0	Complete Genome	2024-11-25		7458198	7458198.0	2.0	Oxford Nanopore MinION and Illumina	Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark	PRJNA747871	SAMN30553165	6945	6733	116.0		Streptomyces	100.0	1.39	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_036189845.1	ASM3618984v1	Streptomyces jietaisiensis	235987	OK		GCF_036189845.1-RS_2024_12_02	7572860	3.0	Complete Genome	2024-01-25		7415029	7415029.0	3.0	Oxford Nanopore MinION and Illumina	Technical University of Denmark	PRJNA747871	SAMN30553115	6639	6442	109.0		Streptomyces	99.78		Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_036240075.1	ASM3624007v1	[Kitasatospora] papulosa	1464011	OK		GCF_036240075.1-RS_2024_12_11	7532608	2.0	Complete Genome	2024-01-26		7413447	7413447.0	2.0	Oxford Nanopore MinION and Illumina	Technical University of Denmark	PRJNA747871	SAMN24016478	6658	6458	112.0		Streptomyces	99.91	0.09	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_021654775.1	ASM2165477v1	Paenibacillus azoreducens	116718	Inconclusive		GCF_021654775.1-RS_2024_03_24	7316152	1.0	Complete Genome	2021-12-20		7316152	7316152.0	1.0	PacBio; NovaSeq 6000	Obihiro University of Agriculture and Veterinary Medicine	PRJDB12645	SAMD00425498	6571	6359	95.0		Paenibacillus	98.98	1.05	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		
GCF_036041405.1	ASM3604140v1	Micromonospora zamorensis	709883	OK		GCF_036041405.1-RS_2024_12_09	7516575	2.0	Complete Genome	2024-01-25		7313367	7313367.0	2.0	Oxford Nanopore MinION and Illumina	Technical University of Denmark	PRJNA747871	SAMN30553065	6888	6715	84.0		Micromonospora	98.33	4.27	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora		
GCF_040564635.1	ASM4056463v1	Planktothricoides raciborskii GIHE-MW2	2792601	Inconclusive		GCF_040564635.1-RS_2024_09_22	7215835	1.0	Complete Genome	2024-07-10		7215835	7215835.0	1.0	PacBio SMRT(Sequel II)	Water Environment Research Division, Gyeonggi Provincial Institute of Health and Environment	PRJNA616171	SAMN42101233	6129	5917	148.0		Oscillatoriales	100.0	0.48	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Planktothricoides	Planktothricoides raciborskii	
GCF_009739905.1	ASM973990v1	Streptomyces ficellus	1977088	Inconclusive		GCF_009739905.1-RS_2024_04_23	7078240	1.0	Complete Genome	2019-12-11		7078240	7078240.0	1.0	PacBio RSII	college of bioengineering	PRJNA507930	SAMN10516753	6402	6224	92.0		Streptomyces	99.81		Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_028771845.1	ASM2877184v1	Paenibacillus marchantiae	3026433	Inconclusive		GCF_028771845.1-RS_2024_03_27	6983959	1.0	Complete Genome	2023-02-22		6983959	6983959.0	1.0	Oxford Nanopore GridION	University Bielefeld	PRJNA933122	SAMN33224160	6276	6073	63.0		Paenibacillus	99.7	0.58	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		
GCF_045037875.1	ASM4503787v1	Pseudomonas petroselini	2899822	OK		GCF_045037875.1-RS_2024_11_20	6936857	2.0	Complete Genome	2024-11-25		6927963	6927963.0	2.0	Oxford Nanopore	Microbiology and Molecular Biology, Brigham Young University	PRJNA1183984	SAMN44656282	6420	6204	129.0		Pseudomonas	100.0	1.04	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_036184225.1	ASM3618422v1	Micromonospora globbae	1894969	OK		GCF_036184225.1-RS_2024_12_11	6864289	1.0	Complete Genome	2024-01-25		6864289	6864289.0	1.0	Oxford Nanopore MinION and Illumina	Technical University of Denmark	PRJNA747871	SAMN30552973	6305	6140	100.0		Micromonospora	94.75	6.67	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora		
GCF_020865585.1	ASM2086558v1	Pseudoduganella aquatica	2660641	OK		GCF_020865585.1-RS_2024_12_09	6852586	1.0	Complete Genome	2021-11-15		6852586	6852586.0	1.0	PacBio	Korea University	PRJNA741379	SAMN19872689	6128	5977	32.0		Oxalobacteraceae	99.81	2.01	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Pseudoduganella		
GCF_037903935.1	Pseudomonas_protegens_1906_v1	Pseudomonas idahonensis	2942628	OK		GCF_037903935.1-RS_2024_04_05	6810649	1.0	Complete Genome	2024-04-05		6810649	6810649.0	1.0	Illumina MiSeq; Oxford Nanopore MinION	Center of analytical and genetic engineering research, Institute of Microbiology, National Academy of Sciences of Belarus	PRJNA1089407	SAMN40540321	6192	6034	68.0		Pseudomonas	99.63	1.87	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_045013515.1	Pseud_dan_01	Pseudomonas danubii	2497146	OK		GCF_045013515.1-RS_2024_11_19	6746049	1.0	Complete Genome	2024-11-22		6746049	6746049.0	1.0	Oxford Nanopore MinION	Diagnostic and Research Insititute of Hygiene, Microbiology and Environmental Medicine, Medical University Graz	PRJNA922378	SAMN33777683	6078	5899	89.0		Pseudomonas	99.68	1.79	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_045039555.1	ASM4503955v1	Streptomyces gougerotii	53448	OK		GCF_045039555.1-RS_2024_11_20	6721603	1.0	Complete Genome	2024-11-25		6721603	6721603.0	1.0	Oxford Nanopore MinION and Illumina	Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark	PRJNA747871	SAMN24016386	5667	5420	157.0		Streptomyces	99.24	0.19	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_042465725.1	Micana_A	Microcoleus anatoxicus	2705319	OK		GCF_042465725.1-RS_2024_10_03	6775695	2.0	Complete Genome	2024-10-10		6658625	6658625.0	2.0	PacBio Sequel	Institute of Biology, Laboratory of Microbiology, University of Neuchatel	PRJNA943188	SAMN33712751	5931	5714	131.0		Microcoleus	90.1	4.81	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Microcoleus		
GCF_013170725.1	ASM1317072v1	Mesorhizobium erdmanii	1777866	OK		GCF_013170725.1-RS_2024_05_05	6602217	1.0	Complete Genome	2020-05-26		6602217	6602217.0	1.0	Illumina MiSeq; Oxford Nanopore MinION	University of Otago	PRJNA496338	SAMN05172962	6359	6174	122.0		Mesorhizobium	99.48	0.1	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium		
GCF_025643595.1	ASM2564359v1	Saccharopolyspora rosea	524884	OK		GCF_025643595.1-RS_2024_11_06	6562638	1.0	Complete Genome	2022-10-11		6562638	6562638.0	1.0	Oxford Nanopore	Jiangnan University	PRJNA869361	SAMN30306658	6126	5991	67.0		Pseudonocardiaceae	98.84	1.74	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora		
GCF_037619525.1	ASM3761952v1	Achromobacter veterisilvae	2069367	OK		GCF_037619525.1-RS_2024_04_05	6549044	1.0	Complete Genome	2024-04-05		6549044	6549044.0	1.0	Illumina; PacBio Sequel	CEC, University of Exeter	PRJNA1085646	SAMN40310765	6095	5991	27.0		Achromobacter	96.78	3.11	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter		
GCF_036884255.1	MLY93	Paenibacillus tundrae	528187	Inconclusive		GCF_036884255.1-RS_2024_05_26	6534616	1.0	Complete Genome	2024-04-05		6534616	6534616.0	1.0	PacBio RSII	Bioengineering, Zhejiang University of Science and Technology	PRJNA1039734	SAMN38224731	5828	5654	36.0		Paenibacillus	99.72	0.06	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		
GCF_030687875.1	ASM3068787v1	Pseudomonas beijingensis	2954101	OK		GCF_030687875.1-RS_2024_08_08	6531494	1.0	Complete Genome	2023-08-08		6531494	6531494.0	1.0	PacBio	Chinese Academy of Agricultural Sciences	PRJNA847632	SAMN29204972	5760	5608	61.0		Pseudomonas	99.95	0.08	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_009363095.1	ASM936309v1	Paenibacillus cellulositrophicus	562959	Inconclusive		GCF_009363095.1-RS_2024_04_23	7424799	2.0	Complete Genome	2019-10-27		6527962	6527962.0	2.0	PacBio RSII	Kyungpook National University	PRJNA578216	SAMN13053093	6778	6603	54.0		Paenibacillus	99.17	0.2	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		
GCF_012971725.1	ASM1297172v1	Pseudomonas multiresinivorans	95301	Inconclusive		GCF_012971725.1-RS_2024_03_29	6517592	1.0	Complete Genome	2020-05-04		6517592	6517592.0	1.0	PacBio Sequel	Oak Ridge National Laboratory	PRJNA606475	SAMN14091588	5980	5868	23.0		Pseudomonas	99.78	1.37	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_002777255.1	ASM277725v1	Candidatus Formimonas warabiya	1761012	Inconclusive		GCF_002777255.1-RS_2025_03_05	6441270	1.0	Complete Genome	2017-11-16		6441270	6441270.0	1.0	PacBio	Ramaciotti Centre	PRJNA345524	SAMN04286332	5836	5686	77.0		Peptococcaceae	100.0	2.76	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Candidatus Formimonas		
GCF_963681955.1	FLM11	Pseudomonas paraveronii	3040598	OK		GCF_963681955.1-RS_2024_04_21	6412151	1.0	Complete Genome	2023-12-05		6412151	6412151.0	1.0	ONT + Illumina MiSeq	Center for Biotechnology, Bielefeld University	PRJEB61225	SAMEA114430935	5951	5752	110.0		Pseudomonas	99.68	2.59	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_024734405.1	ASM2473440v1	Saccharopolyspora gregorii	33914	OK		GCF_024734405.1-RS_2024_12_02	6344421	1.0	Complete Genome	2022-08-23		6344421	6344421.0	1.0	Illumina MiSeq	Ocean University of China	PRJNA647985	SAMN15615649	5620	5505	49.0		Pseudonocardiaceae	99.09	1.16	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora		
GCF_019739075.1	ASM1973907v1	Mycolicibacterium farcinogenes	1802	OK		GCF_019739075.1-RS_2024_07_07	6607534	4.0	Complete Genome	2021-08-24		6344228	6344228.0	4.0	Oxford Nanopore MiniION	Chulalongkorn University	PRJNA749947	SAMN20463126	6350	6220	71.0		Mycobacteriaceae	99.54	1.61	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium		
GCF_036704165.1	ASM3670416v1	Pseudomonas khavaziana	2842351	OK		GCF_036704165.1-RS_2024_04_05	6340526	1.0	Complete Genome	2024-04-05		6340526	6340526.0	1.0	Illumina	College of Life Sciences, Northwest A&F University	PRJNA991103	SAMN36289091	5690	5497	102.0		Pseudomonas	100.0	0.72	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_014395225.1	ASM1439522v1	Pedobacter roseus	336820	Inconclusive		GCF_014395225.1-RS_2024_10_23	6329746	1.0	Complete Genome	2020-09-02		6329746	6329746.0	1.0	PacBio RSII	Kyung Hee University	PRJNA658890	SAMN15892562	5333	5230	32.0		Pedobacter	97.52	3.81	Bacteria	Pseudomonadati	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter		
GCF_029690045.1	ASM2969004v1	Janthinobacterium rivuli	2751478	Inconclusive		GCF_029690045.1-RS_2024_04_11	6325785	1.0	Complete Genome	2023-04-12		6325785	6325785.0	1.0	Oxford Nanopore MinION	University of Warsaw	PRJNA952346	SAMN34073736	5734	5588	24.0		Janthinobacterium	99.13	6.12	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium		
GCF_002327145.1	ASM232714v1	Janthinobacterium svalbardensis	368607	Inconclusive		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6274078	1.0	Complete Genome	2017-09-21		6274078	6274078.0	1.0	PacBio	Korea Polar Research Institute	PRJNA407061	SAMN07638148	5668	5493	55.0		Janthinobacterium	99.29	6.47	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium		
GCF_010731735.1	ASM1073173v1	Mycolicibacterium sediminis	1286180	OK		GCF_010731735.1-RS_2024_05_05	6250641	1.0	Complete Genome	2020-02-06		6250641	6250641.0	1.0	Oxford Nanopore Technologies MinION; Illumina HiSeq2500	Department of Infection Metagenomics, Osaka University	PRJDB7717	SAMD00153209	6017	5894	68.0		Mycobacteriaceae	99.08	1.39	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium		
GCF_029215585.1	ASM2921558v1	Pseudomonas kermanshahensis	2745482	OK		GCF_029215585.1-RS_2024_03_28	6213236	1.0	Complete Genome	2023-03-15		6213236	6213236.0	1.0	Illumina HiSeq; PacBio	Nanjing Agricultural University	PRJNA940569	SAMN33574227	5574	5416	59.0		Pseudomonas	100.0	0.22	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_024584585.1	ASM2458458v1	Pseudomonas ficuserectae	53410	OK		GCF_024584585.1-RS_2024_08_22	6456568	4.0	Complete Genome	2022-08-08		6169857	6169857.0	4.0	PacBio Sequel	South china agriculture university	PRJNA773656	SAMN22503690	5881	5434	363.0		Pseudomonas	98.81	0.08	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_031199375.1	ASM3119937v1	Lysobacter yananisis	1003114	Inconclusive		GCF_031199375.1-RS_2024_05_12	6155634	1.0	Complete Genome	2023-09-06		6155634	6155634.0	1.0	Oxford Nanopore PromethION	Shaanxi Normal University	PRJNA1009987	SAMN37176711	5104	4983	50.0		Lysobacter	86.09	24.23	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter		
GCA_001746915.2	ippasB1220	Desertifilum tharense IPPAS B-1220	1781255	Inconclusive		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6144657	2.0	Complete Genome	2025-03-05		6134424	6134424.0	2.0	Oxford Nanopore MinION; Illumina MiSeq	Laboratory of Structure Biology, RUDN University	PRJNA343432	SAMN05788062	7537	5502	1964.0		Cyanobacteria	31.26	0.54	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Desertifilales	Desertifilaceae	Desertifilum	Desertifilum tharense	
GCF_021183725.1	ASM2118372v1	Mycobacterium ostraviense	2738409	OK		GCF_021183725.1-RS_2024_12_16	6127734	1.0	Complete Genome	2021-12-14		6127734	6127734.0	1.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN23242882	5684	5161	470.0		Mycobacterium	99.11	0.65	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium		
GCF_010726765.1	ASM1072676v1	Mycobacterium gallinarum	39689	Inconclusive		GCF_010726765.1-RS_2024_06_22	6301681	2.0	Complete Genome	2020-02-06		6090007	6090007.0	2.0	Oxford Nanopore Technologies MinION; Illumina HiSeq2500	Department of Infection Metagenomics, Osaka University	PRJDB7717	SAMD00153170	6218	6067	95.0		Mycobacterium	99.58	0.58	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium		
GCF_045209695.1	ASM4520969v1	Streptomyces thermoviolaceus	1952	OK		GCF_045209695.1-RS_2024_11_23	6066002	1.0	Complete Genome	2024-11-25		6066002	6066002.0	1.0	Oxford Nanopore MinION and Illumina	Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark	PRJNA747871	SAMN30553368	5314	5100	122.0		Streptomyces	99.49	0.28	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_037327425.1	ASM3732742v1	Rhodococcus sovatensis	1805840	Inconclusive		GCF_037327425.1-RS_2024_04_05	6015441	1.0	Complete Genome	2024-04-05		6015441	6015441.0	1.0	Nanopore	college of life science, zhejiang university	PRJNA1086705	SAMN40410180	5636	5438	136.0		Rhodococcus	98.3	1.32	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus		
GCF_044987285.1	ASM4498728v1	Streptomyces thermolineatus	44033	OK		GCF_044987285.1-RS_2024_11_18	6006460	1.0	Complete Genome	2024-11-20		6006460	6006460.0	1.0	Illumina	Nanjing University School Of Life Science, Nanjing University	PRJNA1181045	SAMN44536900	5299	5082	129.0		Streptomyces	97.1	1.42	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_024072275.1	ASM2407227v1	Pseudomonas siliginis	2842346	OK		GCF_024072275.1-RS_2024_07_07	6095266	2.0	Complete Genome	2022-06-30		5992118	5992118.0	2.0	PacBio	INRAE	PRJNA848627	SAMN29009911	5520	5388	44.0		Pseudomonas	99.31	0.19	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_024704525.1	ASM2470452v1	Pandoraea commovens	2508289	OK		GCF_024704525.1-RS_2024_09_01	6056872	2.0	Complete Genome	2022-08-16		5976109	5976109.0	2.0	Oxford Nanopore GridION; Illumina MiSeq	Labor Berlin - Charite Vivantes GmbH	PRJNA849608	SAMN30015177	5368	5247	39.0		Burkholderiaceae	99.32	0.48	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea		
GCF_024499525.1	ASM2449952v1	Flavobacterium panici	2654843	OK		GCF_024499525.1-RS_2024_12_16	5972859	1.0	Complete Genome	2022-08-01		5972859	5972859.0	1.0	PacBio RSII	Seoul National University	PRJNA855445	SAMN29492048	5012	4914	16.0		Flavobacterium	99.53	1.95	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
GCF_025133285.1	ASM2513328v1	Streptomyces carpaticus	285558	OK		GCF_025133285.1-RS_2024_05_25	5968715	1.0	Complete Genome	2022-09-11		5968715	5968715.0	1.0	Illumina MiSeq; Oxford Nanopore MinION	SRCAMB	PRJNA269675	SAMN30493425	5391	5245	68.0		Streptomyces	96.69	0.6	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_030505375.1	ASM3050537v1	Pseudomonas kielensis	2762577	OK		GCF_030505375.1-RS_2024_07_18	5857139	1.0	Complete Genome	2023-07-19		5857139	5857139.0	1.0	Oxford Nanopore MinION	University of Zurich	PRJNA991734	SAMN36315995	5428	5175	153.0		Pseudomonas	98.04	0.58	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_024584745.1	ASM2458474v1	Dolichospermum heterosporum TAC447	747523	Inconclusive		GCF_024584745.1-RS_2024_08_22	5833376	1.0	Complete Genome	2022-08-08		5833376	5833376.0	1.0	PacBio RSII	Hokkaido University	PRJNA847695	SAMN29019864	5349	5109	178.0		Nostocales	98.33	0.31	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	Dolichospermum heterosporum	
GCF_034555895.2	ASM3455589v2	Mycobacterium europaeum	761804	OK		GCF_034555895.2-RS_2024_06_04	6268691	4.0	Complete Genome	2024-06-04		5804834	5804834.0	4.0	Illumina NovaSeq; Oxford Nanopore MinION	Center of Infectious Diseases, West China Hospital, Sichuan University	PRJNA929715	SAMN38872439	5858	5641	163.0		Mycobacterium	99.88	0.61	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium		
